"CRSE_CRSE_ID"|"CRSE_EFFDT"|"COFFR_ACAD_CAREER"|"COFFR_SUBJECT"|"COFFR_SUBJECT_LDESC"|"COFFR_CATALOG_NBR"|"COFFR_ACAD_GROUP"|"COFFR_ACAD_GROUP_LDESC"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCR"|"CRSE_DESCRLONG"|"CTPCS_CRSE_ATTR"|"CTPCS_CRSE_ATTR_VALUE"|"CATALOG NOTES 1"|"CATALOG NOTES 2"
"000010"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"341L"|"LA"|"Liberal Arts"|"Gender and Film: Multidisciplinary Perspectives"|"Gender and Film"|"This course is designed to encourage multidisciplinary analysis of gender, cultural representations, and film in the 20th and early 21st century.  Among the topics that students will explore are: ethnographic film and gendered practices in ethnographic filmmaking; how ideologies of gender, ''race,'' and class are constructed, disseminated, and normalized through film (documentary as well as ''popular'' film); Indigenous women and filmmaking in North America; femininities, masculinities, and power in the ''horror film'' genre; human rights film and filmmaking as activism.  Students will view films made in diverse locations and reflecting multiple historical, political, and cultural perspectives and will explore the intellectual, political and social significance of film in their own lives."|" "|"World Cultures"|"ENGL 341L and WGS 341L and CINE 341L are the same course."|""
"000010"|"2022-09-06"|"UGRD"|"CINE"|"Cinema Studies"|"341L"|"LA"|"Liberal Arts"|"Gender and Film: Multidisciplinary Perspectives"|"Gender and Film"|"This course is designed to encourage multidisciplinary analysis of gender, cultural representations, and film in the 20th and early 21st century.  Among the topics that students will explore are: ethnographic film and gendered practices in ethnographic filmmaking; how ideologies of gender, ''race,'' and class are constructed, disseminated, and normalized through film (documentary as well as ''popular'' film); Indigenous women and filmmaking in North America; femininities, masculinities, and power in the ''horror film'' genre; human rights film and filmmaking as activism.  Students will view films made in diverse locations and reflecting multiple historical, political, and cultural perspectives and will explore the intellectual, political and social significance of film in their own lives."|" "|"World Cultures"|"ENGL 341L and WGS 341L and CINE 341L are the same course."|""
"000012"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"311L"|"LA"|"Liberal Arts"|"American Oral History"|"American Oral History"|"This course explores oral history interviewing, texts, and films, within the context of efforts to create a fully representative social and cultural history of the US. Students design individual or group oral history projects, to capture the experiences and perspectives of people formerly regarded as ''unhistorical''-in particular, women, working class people, immigrants, people of color, and gays and lesbians."|"Pre-req = a minimum of 30 credits or Permission of Instructor"|" "|"(Satisfies the research requirement for women's studies majors.)AMST 311L and WGS 311L are the same course."|""
"000012"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"311L"|"LA"|"Liberal Arts"|"American Oral History"|"American Oral History"|"This course explores oral history interviewing, texts, and films, within the context of efforts to create a fully representative social and cultural history of the US. Students design individual or group oral history projects, to capture the experiences and perspectives of people formerly regarded as ''unhistorical''-in particular, women, working class people, immigrants, people of color, and gays and lesbians."|" "|" "|"(Satisfies the research requirement for women's studies majors.)AMST 311L and WGS 311L are the same course."|""
"000014"|"2022-09-06"|"UGRD"|"ANTH"|"Anthropology"|"243L"|"LA"|"Liberal Arts"|"Rethinking the Family: Cross-Cultural Perspectives"|"Rethinking the Family"|"This course analyzes the ways in which culture shapes perceptions of family. It explores narratives about how human family structures evolved, examines the increasing medicalization of reproduction and the body, and takes stock of the ways in which race, class, gender, and sexual orientation affect commonly held and frequently subscribed-to beliefs about what constitutes family. It illustrates the diversity of kinship definitions with ethnographic examples from the Iban of Indonesian Borneo, the Nyakyusa of East Africa, and other societies from the Americas, Africa, Asia, and the pacific Islands. Through an exploration of the pressures to which African American families have been subjected in the United States, it probes the ways in which the legacy of slavery shapes the possibilities and perceptions of contemporary families."|" "|"International, Social & Behavioral Sciences"|"ANTH 243L and WGS 243L are the same course."|""
"000014"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"243L"|"LA"|"Liberal Arts"|"Rethinking the Family: Cross-Cultural Perspectives"|"Rethinking the Family"|"This course analyzes the ways in which culture shapes perceptions of family. It explores narratives about how human family structures evolved, examines the increasing medicalization of reproduction and the body, and takes stock of the ways in which race, class, gender, and sexual orientation affect commonly held and frequently subscribed-to beliefs about what constitutes family. It illustrates the diversity of kinship definitions with ethnographic examples from the Iban of Indonesian Borneo, the Nyakyusa of East Africa, and other societies from the Americas, Africa, Asia, and the pacific Islands. Through an exploration of the pressures to which African American families have been subjected in the United States, it probes the ways in which the legacy of slavery shapes the possibilities and perceptions of contemporary families."|" "|"International, Social & Behavioral Sciences"|"ANTH 243L and WGS 243L are the same course."|""
"000015"|"2021-09-07"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"370"|"LA"|"Liberal Arts"|"Feminist Research Seminar"|"Feminist Research Seminar"|"Through readings, guest lectures, discussions and hands-on projects, students learn to use and to critically evaluate basic research tools in the humanities and social sciences, as they apply to the interdisciplinary and intersectional field of women's, gender and sexuality studies. The course emphasizes the relationship between generating knowledge and organizing for social justice, gender equality and human rights while exploring notions of objectivity, bias and power in the research process."|"Pre-requisite: One previous WGS course"|" "|""|""
"000016"|"2021-09-07"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"291"|"LA"|"Liberal Arts"|"Family Law"|"Family Law"|"Using a feminist lens, this course examines the legal regulation of family relationships, with a primary focus on marriage and divorce in a U.S. context. Grounded in an interdisciplinary historical perspective, we will pay particular attention to the ways in which considerations of gender, race, class, and sexual orientation shape the law's construction and dissolution of intimate partnerships."|" "|"United States, Social & Behavioral Sciences"|""|""
"000017"|"2019-01-28"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"150"|"LA"|"Liberal Arts"|"Women, Culture and Identity"|"Women, Culture and Identity"|"This course explores cultural beliefs about women's ''nature'' and role at different times and places, drawing on materials from literature, including fiction and autobiography, and from history and feminist analysis. Using a thematic rather than a chronological approach, the course will focus on the ways in which intersection of race, class and gender affects the lives and self-concepts of women, in the U.S. and in other societies in the world."|" "|"Humanities"|""|""
"000018"|"2019-01-28"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"100"|"LA"|"Liberal Arts"|"Introduction to Women, Gender, and Sexualities in the United States"|"Women, Gender, & Sexualities"|"This interdisciplinary course examines how social constructions of gender and sexuality shape our day-to-day interactions with a variety of social institutions, such as the family and workplace, and contribute to systems of power and privilege. Through a careful examination of texts, films and other materials, students will explore contemporary feminist challenges to long-standing assumptions about what constitutes diverse gendered identities and will relate these insights to their own lived experiences in productive ways."|" "|"United States, Social & Behavioral Sciences"|""|""
"000090"|"2022-09-06"|"UGRD"|"THRART"|"Theatre Arts"|"265L"|"LA"|"Liberal Arts"|"Acting for the Camera"|"Acting for the Camera"|"An exploration and evaluation of techniques of television production, with particular emphasis on common industry practices."|" "|" "|"THRART 265Land CINE 265L are the same course."|""
"000090"|"2022-09-06"|"UGRD"|"CINE"|"Cinema Studies"|"265L"|"LA"|"Liberal Arts"|"Acting for the Camera"|"Acting for the Camera"|"An exploration and evaluation of techniques of television production, with particular emphasis on common industry practices."|" "|" "|"THRART 265Land CINE 265L are the same course."|""
"000091"|"2021-01-25"|"UGRD"|"THRART"|"Theatre Arts"|"361"|"LA"|"Liberal Arts"|"Introduction to Costume Design"|"Intro Costume Design"|"A theoretical approach to the practice of designing costumes for the theatre; from proper research compilation to creative sketch presentation. The course introduces the relevance of cultural representation, and the use of design elements such as color, scale, silhouette, fabric choices, etc., as they apply to character and story-telling on stage"|"Pre-requisite: THRART 122"|"The Arts"|""|""
"000093"|"2011-01-24"|"UGRD"|"THRART"|"Theatre Arts"|"251"|"LA"|"Liberal Arts"|"Playwriting I"|"Playwriting I"|"Writing for the theatre, including examinations of model one-act and three-act plays by major contemporary writers; selected readings on the craft of playwriting; and the completion of an original play begun in class."|" "|"The Arts"|""|""
"000094"|"2022-09-06"|"UGRD"|"THRART"|"Theatre Arts"|"236"|"LA"|"Liberal Arts"|"Acting 1"|"Acting 1"|"Designed for Theatre Arts majors and minors only. Students explore the craft of acting through imagination, character study and a basic approach to text through action. Basic technical methods in voice, movement and script analysis are introduced. Through ensemble and scene work, improvisation and monologues, students establish a working vocabulary, acquire performance and audition skills and begin to develop a personal artistic process."|"Pre-req: THRARTS majors/minors only or THRART 136 with permission of instructor."|"The Arts"|"This required acting course serves as a foundation for all subsequent performance courses"|""
"000095"|"2018-01-22"|"UGRD"|"THRART"|"Theatre Arts"|"337"|"LA"|"Liberal Arts"|"Directing I"|"Directing I"|"The director as creator of the vision of the whole play and all its elements; acting, lighting, stage design, styles of theatre, script breakdown, production notebook, and slow, careful work in directing small scenes."|"Pre-req = THRART 136 or THRART 236"|"The Arts"|""|""
"000097"|"2024-01-22"|"UGRD"|"THRART"|"Theatre Arts"|"124"|"LA"|"Liberal Arts"|"Theatre Crafts II: Stage Management"|"Theatre Craft II Stg Managemnt"|"This course teaches essential skills in stage management, sound, and props related to live entertainment production. Students learn how to coordinate rehearsals and run of shows and how to interact with directors, performers, musicians, designers, and technical staff in order to produce a successful event. Students will study the organizational techniques, communication methods, budget management, and industry standards essential to a career in the Performing Arts and beyond."|" "|"The Arts"|""|""
"000098"|"2023-09-05"|"UGRD"|"THRART"|"Theatre Arts"|"316"|"LA"|"Liberal Arts"|"The Elizabethan Stage"|"Elizabethan Stage"|"Study of Elizabethan stage techniques as revealed in plays by Marlowe, Shakespeare, Jonson and Webster."|" "|"Humanities"|""|""
"000099"|"2011-01-24"|"UGRD"|"DANCE"|"Dance"|"135"|"LA"|"Liberal Arts"|"Multicultural Dance"|"Multi-Cultural Dance"|"This course focuses on the theory, practice, and performance of American, Latin-American, and African-American dance styles."|" "|"The Arts"|""|""
"000102"|"2019-09-03"|"UGRD"|"DANCE"|"Dance"|"131"|"LA"|"Liberal Arts"|"Musical Theatre Dance"|"Musical Theatre Dance"|"This dance course is designed to provide a deeper understanding of how to perform dance for Musical Theatre, focusing on musicality, dancing with a partner and with an ensemble, counting music, as well as stage presence, including the importance of theatrical acting and expression. Students will learn a variety of dance styles, such as Jazz, Tango, Jitterbug, and Square Dance as they learn choreography to several different musical theatre shows. Students will learn to verbally and physically articulate the basic elements needed to perform musical theatre dance, in relation to quality of movements, body awareness, performance, and technique."|" "|"The Arts"|""|""
"000103"|"2011-01-24"|"UGRD"|"DANCE"|"Dance"|"130"|"LA"|"Liberal Arts"|"Understanding Dance"|"Understanding Dance"|"The course features the study of dance and its choreography, and varied views of dance by artists such as Duncan, Nijinsky, Graham, Tharp and Balanchine. Lectures, slides, films, readings, discussions, writing and studio practice focus on critical observations of dance."|" "|"The Arts"|""|""
"000104"|"2022-09-06"|"UGRD"|"THRART"|"Theatre Arts"|"123"|"LA"|"Liberal Arts"|"Theatre Crafts I"|"Stagecraft I"|"An introduction to an exploration of stage facilities and skills, emphasizing skill development in the uses and choices of tools, materials, and procedures necessary for scenic and property execution."|" "|"The Arts, Stay On Track"|"Includes 50-hour lab work in department productions. Offered each Fall semester."|""
"000153"|"1998-09-08"|"GRAD"|"SPE G"|"Special Education"|"684"|"GCOE"|"College of Educ&Human Develp"|"Computers in Special Education"|"Computers In Spec Ed"|"Universal Design for Learning is the model used for evaluating software and assessing school-specific and classroom-specific uses of technology to support the learning of students with special needs. The course focuses on curriculum applications of technology that can improve the learning opportunities for all students, especially those with special needs, and enhance their problem-solving capabilities, organization skills, and social competence. Attention is also given to adaptive computing technologies that help students compensate for visual, auditory, motor, and/or cognitive limitations."|"Pre-req = Graduate Degree Student in Special Ed"|" "|""|""
"000155"|"2022-09-06"|"GRAD"|"VISN"|"Vision Studies"|"604"|"GCOE"|"College of Educ&Human Develp"|"Eye Anatomy and Disease"|"Eye Anatomy and Disease"|"This course begins with a practical look at the functional impact of visual impairment through the use of simulated exercises. This is followed by a series of medically-related lectures by affiliated ophthalmologists. Topics include the structure of the eye, the assessment of normal and abnormal vision, optics, and the functional implications of common pathologies. Students discuss low-vision services and participate in ''hands-on'' training within a low-vision clinic."|"Pre-requisite = Matriculated student in Vision Studies masters or certificate program"|" "|""|""
"000158"|"2022-09-06"|"UGRD"|"LATAM"|"Latin American Studies"|"454L"|"LA"|"Liberal Arts"|"Argentina"|"Argentina"|"This course is a cultural interpretation of Argentina based primarily on historical, cultural, and literary works. The aim is to explore the process of nation-building in the Latin American context. Topics include: the role of the intellectual in political culture; gender and nation; literature and nationalism; media and politics; and globalization."|"Pre-requisite = Knowledge of Spanish and permission of instructor"|"World Languages"|"LATAM 454L and SPAN 454L are the same course."|""
"000158"|"2022-09-06"|"UGRD"|"SPAN"|"Spanish"|"454L"|"LA"|"Liberal Arts"|"Argentina"|"Argentina"|"This course is a cultural interpretation of Argentina based primarily on historical, cultural, and literary works. The aim is to explore the process of nation-building in the Latin American context. Topics include: the role of the intellectual in political culture; gender and nation; literature and nationalism; media and politics; and globalization."|" "|"World Languages"|"LATAM 454L and SPAN 454L are the same course."|""
"000165"|"2023-09-05"|"GRAD"|"SOCIOL"|"Sociology"|"609L"|"LA"|"Liberal Arts"|"Qualitative Methods and Field Research"|"Qualitative Methods"|"This course is designed to introduce students to qualitative research methods; its specific focus is on policy research and aging. Students practice the skills needed to observe the world around them by attending to social phenomena, descriptively and analytically. The course functions as both a seminar and a research workshop, and students learn by engaging in a field work project."|" "|" "|"GERON GR 609L and PPOL-G 609L and SOCIOL 609L are the same course."|""
"000165"|"2023-09-05"|"GRAD"|"GERON GR"|"Graduate Gerontology"|"609L"|"NURS"|"College of Nursing&Health Sci"|"Qualitative Methods and Field Research"|"Qualitative Methods"|"This course is designed to introduce students to qualitative research methods; its specific focus is on policy research and aging. Students practice the skills needed to observe the world around them by attending to social phenomena, descriptively and analytically. The course functions as both a seminar and a research workshop, and students learn by engaging in a field work project."|" "|" "|"GERON GR 609L and PPOL-G 609L and SOCIOL 609L are the same course."|""
"000165"|"2023-09-05"|"GRAD"|"PPOL-G"|"Public Policy"|"609L"|"LA"|"Liberal Arts"|"Qualitative Methods and Field Research"|"Qualitative Methods"|"This course is designed to introduce students to qualitative research methods; its specific focus is on policy research and aging. Students practice the skills needed to observe the world around them by attending to social phenomena, descriptively and analytically. The course functions as both a seminar and a research workshop, and students learn by engaging in a field work project."|" "|" "|"GERON GR 609L and PPOL-G 609L and SOCIOL 609L are the same course."|""
"000167"|"2021-01-25"|"UGRD"|"SOCIOL"|"Sociology"|"339"|"LA"|"Liberal Arts"|"Sociology of Law"|"Soc of Law"|"This course provides a general analysis of the social origins and consequences of law and legal process. Special attention will be paid to law as a method of conflict resolution, law as a social control structure, and the law as a medium that both reflects and creates social change."|"Pre-requisite: SOCIOL 101. Sociology Majors are also required to have completed SOCIOL 102"|" "|""|""
"000168"|"2024-09-03"|"UGRD"|"SOCIOL"|"Sociology"|"337"|"LA"|"Liberal Arts"|"The Police in Society"|"Police In Society"|"An examination of police as a system of social control; a survey of major studies of police by sociologists and government commissions. Emphasis placed on police organization, patterns and consequences of police training, historical and cross-cultural perspectives of police systems and studies of police discretion and police-citizen interaction."|"Pre-requisite: SOCIOL 101 and SOCIOL 104. Sociology Majors are also required to have completed SOCIOL 102"|" "|""|""
"000169"|"2023-01-23"|"UGRD"|"SOCIOL"|"Sociology"|"461"|"LA"|"Liberal Arts"|"Internship in Law and Criminal Justice"|"Intern In Law&Crijus"|"It includes both an internship component and seminar-style classroom meetings. The course meetings will give a complete overview of the criminal justice system. Focusing on core topics such as crime, policy, courts, corrections, probation, parole, reentry, criminal justice proceedings, crime causation, criminal law, sentencing, victims, and the social impacts of crime. Students will apply for an internship the semester prior to taking the course at a criminal justice agency or related organization. Examples include law enforcement agencies, private or public research entities, policy-making bodies, the legislature, the court system, substance abuse treatment facilities, probation, parole, corrections, or human services agencies that are connected to the criminal justice system. The internship, in conjunction with lectures and classroom activities, is designed to allow students to gain practical knowledge of the criminal justice system."|"Pre-requisites: SOCIOL 104 and SOCIOL 202 and SOCIOL 262 and  SOCIOL 350 or SOCIOL 352 or PSYCH 370  and 75+ credits."|"Non-degree exclude from list"|"This course fulfills the capstone requirement for Criminology and Criminal Justice majors."|""
"000171"|"2020-09-08"|"UGRD"|"ASAMST"|"Asian American Studies"|"423"|"GCOE"|"College of Educ&Human Develp"|"Boston's Asian American Communities"|"Boston Asian-American Com."|"This advanced research seminar examines the dynamics of ethnicity and community change in Asian American communities. Using theories of community development and methods of community research, students analyze Boston's Asian American communities as case studies of complex social systems. The course also looks at current research on immigrant acculturation, ethnic enclave economies, and the community control movement."|" "|" "|""|""
"000172"|"2021-01-25"|"UGRD"|"SOCIOL"|"Sociology"|"368"|"LA"|"Liberal Arts"|"Substance Use, Abuse, and Addiction"|"Substance Use, Abuse"|"This course provides and in-depth interdisciplinary analysis of the nature, causes, and extent of substance use/misuse/abuse, including alcoholism and drug addiction. The course analyzes drinking patterns and drinking problems across gender, race, and ethnicity and among subgroups in the population such as children and adolescents, criminal justice clients, the elderly, and the homeless."|"Pre-requisite: SOCIOL 101. Sociology Majors are also required to have completed SOCIOL 102"|" "|""|""
"000174"|"2021-01-25"|"UGRD"|"SOCIOL"|"Sociology"|"363"|"LA"|"Liberal Arts"|"Punishment and Corrections"|"Punishment and Corrections"|"This course provides a general overview of the American correctional system. The course will consider how society responds to crime by looking at approaches to punishment and corrections. The class will explore the history of punishment, the internal dynamics and workings of a prison, the experiences of both corrections officers and the individuals who are incarcerated, and the impact former inmates and our correctional systems have on our communities. Throughout the course, students will examine the issues that challenge corrections today including shifting societal expectations. The course considers a number of issues such as the history of penology; jails, prisons, and community-based supervision; the duties and discretion of correctional employees; and prisoner reentry."|"Pre-requisite: SOCIOL 101 and SOCIOL 104. Sociology majors are also required to have completed SOCIOL 102."|" "|""|""
"000176"|"2023-01-23"|"UGRD"|"SOCIOL"|"Sociology"|"202"|"LA"|"Liberal Arts"|"Methods of Sociological Research"|"Methods"|"This course covers all aspects of social research design, implementation, and data analysis. Emphasis is placed on the development of research projects and using quantitative and qualitative methods to study contemporary social issues."|"Pre-requisite: SOCIOL 101"|"Mid-Term Roster course"|""|""
"000181"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"228L"|"LA"|"Liberal Arts"|"Asian Women in the United States"|"Asian Women In U.S."|"Drawing on women's voices in literature, sociocultural research, and historical analysis, this course examines the experience of Asian women in the United States from 1850 to the present. Topics include the transformation of Asian women's traditional roles as part of the acculturation process; exclusion; changing roles within the Asian American family; resistance to oppression as defined by race, gender, class; and the continuing impact of international politics."|"Pre-req = ENGL 102"|"United States, Social & Behavioral Sciences"|"AMST 228L and ASAMST 228L are the same course."|""
"000181"|"2022-09-06"|"UGRD"|"ASAMST"|"Asian American Studies"|"228L"|"GCOE"|"College of Educ&Human Develp"|"Asian Women in the United States"|"Asian Women In U.S."|"Drawing on women's voices in literature, sociocultural research, and historical analysis, this course examines the experience of Asian women in the United States from 1850 to the present. Topics include the transformation of Asian women's traditional roles as part of the acculturation process; exclusion; changing roles within the Asian American family; resistance to oppression as defined by race, gender, class; and the continuing impact of international politics."|" "|"United States, Social & Behavioral Sciences"|"AMST 228L and ASAMST 228L are the same course."|""
"000184"|"2022-09-06"|"UGRD"|"ASAMST"|"Asian American Studies"|"225L"|"GCOE"|"College of Educ&Human Develp"|"Southeast Asians in the United States"|"Southeast Asian in the US"|"This course examines issues arising from the resettlement of one million Vietnamese, Cambodian, and Laotian refugees in the US since 1975. Topics include resettlement policies, adjustment and acculturation, changing roles of women and family, and the continuing impact of international politics. Media presentations and lectures by local Southeast Asian community leaders highlight the course."|" "|"United States, Social & Behavioral Sciences"|"AMST 225L and ASAMST 225L are the same course."|""
"000184"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"225L"|"LA"|"Liberal Arts"|"Southeast Asians in the United States"|"Southeast Asian in the US"|"This course examines issues arising from the resettlement of one million Vietnamese, Cambodian, and Laotian refugees in the US since 1975. Topics include resettlement policies, adjustment and acculturation, changing roles of women and family, and the continuing impact of international politics. Media presentations and lectures by local Southeast Asian community leaders highlight the course."|"Pre-req = ENGL 102"|"United States, Social & Behavioral Sciences"|"AMST 225L and ASAMST 225L are the same course."|""
"000185"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"223L"|"LA"|"Liberal Arts"|"Asians in the United States"|"Asians in the United States"|"This multidisciplinary course examines the social, historical, and structural contexts defining the Asian American experience from 1850 to the present. Topics include immigration, labor, community settlement, ethnicity, stereotypes, and race relations."|"Pre-req = ENGL 102"|"United States, Humanities"|"AMST 223L and ASAMST 223L are the same course."|""
"000185"|"2022-09-06"|"UGRD"|"ASAMST"|"Asian American Studies"|"223L"|"GCOE"|"College of Educ&Human Develp"|"Asians in the United States"|"Asians in the United States"|"This multidisciplinary course examines the social, historical, and structural contexts defining the Asian American experience from 1850 to the present. Topics include immigration, labor, community settlement, ethnicity, stereotypes, and race relations."|"Pre-req = ENGL 102"|"United States, Humanities"|"AMST 223L and ASAMST 223L are the same course."|""
