"CLASS_STRM_LDESC"|"CLASS_STRM_SDESC"|"CLASS_ACAD_GROUP_LDESC"|"CLASS_ACAD_GROUP_CD"|"CLASS_ACAD_CAREER"|"CLASS_SESSION_LDESC"|"CLASS_SUBJECT_LDESC"|"CLASS_SUBJECT_CD"|"CLASS_CATALOG_NBR"|"CLASS_CLASS_SECTION"|"CLASS_CLASS_NBR"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCRLONG"|"CLASS_ENRL_STAT_SDESC"|"CRSE_UNITS_MAXIMUM"|"Meeting Pattern"|"CLASSM_START_DT"|"CLASSM_END_DT"|"CLASSM_MEETING_TIME_START"|"CLASSM_MEETING_TIME_END"|"CLASS_ENRL_CAP"|"CLASS_ENRL_TOT"|"CLASS_INSTRUCTOR_NAME"|"CLASS_FACILITY_ID"|"CLASS_FACILITY_DESCRLONG"|"BUILDING_CODE"|"CRSE_CONSENT"|"COFFR_PRE_REQ_LDESC"|"CLASS_MTG_DESCR1"|"CLASS_NOTES_1"|"CLASS_NOTES_2"|"CLASS_NOTES_3"|"CLASS_NOTES_4"|"CLASS_NOTES_5"|"CLASS_NOTES_6"|"CLASS_NOTES_7"|"CLASS_NOTES_8"|"CLASS_NOTES_9"|"CLASS_NOTES_10"|"CLASSM_MONDAY"|"CLASSM_TUESDAY"|"CLASSM_WEDNESDAY"|"CLASSM_THURSDAY"|"CLASSM_FRIDAY"|"CLASSM_SATURDAY"|"CLASSM_SUNDAY"|"CATTR_CRSE_ATTR"|"CATTR_CRSE_ATTR_VALUE_DESCR"|"CRSE_UNITS_MINIMUM"|"INSTRUCTION_MODE"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"03"|"6504"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Evans,Jason J"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"04"|"6505"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Foster,Michelle C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"05"|"6506"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Hagar,William G"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"06"|"6507"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"TBD"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"01"|"6508"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Ackerman,Steven M"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"02"|"6509"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Cai,Changmeng"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"03"|"6510"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Colon-Carmona,Adan"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"04"|"6511"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Dowling,Daniel Peter"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"05"|"6512"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Evans,Jason J"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"06"|"6513"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"1"|"Foster,Michelle C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"07"|"6514"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Girard,Juliet Rose"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"08"|"7168"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Green,Jason R"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"09"|"7169"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Hagar,William G"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"10"|"7170"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Huang,Linda"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"11"|"7271"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Kesseli,Richard V"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"12"|"7274"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Li,Qingjiang"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"13"|"7275"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Macoska,Jill Ann"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"14"|"7276"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Pathania,Shailja"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"15"|"7277"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Poynton,Helen C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"16"|"7278"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Rochford,Jonathan Joseph"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"17"|"7279"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Rouhana,Labib"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"18"|"7280"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Sevian,Hannah M"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"19"|"7281"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Torok,Bela"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"20"|"7282"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"1"|"Torok,Marianna"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"21"|"7283"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Veraksa,Alexey N"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"22"|"7284"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"White,Brian T"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"23"|"7285"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Woodhams,Douglas Craig"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"24"|"7627"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Zhang,Wei"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"25"|"7970"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"1"|"Hamad,Kimberly"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"492"|"26"|"7971"|"Directed Research in Biochemistry II"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"TBD"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biology"|"BIOL"|"101"|"01"|"6515"|"The Basis of Life"|"The uniqueness of life within the physical universe. The matter and energy of life, the genetic code, molecular biology, and the origin and evolution of life. An overview for students in the humanities and social sciences of those features which distinguish living organisms from non-living things. No background in the natural sciences is required."|"Open"|"3.00"|"MWF"|"01/27/2025"|"05/14/2025"|"15:00"|"15:50"|"35"|"18"|"Martin,Glover Wilberte"|"W01-0064"|"Wheatley W01-0064"|"WHEATLEY"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|"BNGE"|"Natural Sciences"|"3.00"|"P"
