"CLASS_STRM_LDESC"|"CLASS_STRM_SDESC"|"CLASS_ACAD_GROUP_LDESC"|"CLASS_ACAD_GROUP_CD"|"CLASS_ACAD_CAREER"|"CLASS_SESSION_LDESC"|"CLASS_SUBJECT_LDESC"|"CLASS_SUBJECT_CD"|"CLASS_CATALOG_NBR"|"CLASS_CLASS_SECTION"|"CLASS_CLASS_NBR"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCRLONG"|"CLASS_ENRL_STAT_SDESC"|"CRSE_UNITS_MAXIMUM"|"Meeting Pattern"|"CLASSM_START_DT"|"CLASSM_END_DT"|"CLASSM_MEETING_TIME_START"|"CLASSM_MEETING_TIME_END"|"CLASS_ENRL_CAP"|"CLASS_ENRL_TOT"|"CLASS_INSTRUCTOR_NAME"|"CLASS_FACILITY_ID"|"CLASS_FACILITY_DESCRLONG"|"BUILDING_CODE"|"CRSE_CONSENT"|"COFFR_PRE_REQ_LDESC"|"CLASS_MTG_DESCR1"|"CLASS_NOTES_1"|"CLASS_NOTES_2"|"CLASS_NOTES_3"|"CLASS_NOTES_4"|"CLASS_NOTES_5"|"CLASS_NOTES_6"|"CLASS_NOTES_7"|"CLASS_NOTES_8"|"CLASS_NOTES_9"|"CLASS_NOTES_10"|"CLASSM_MONDAY"|"CLASSM_TUESDAY"|"CLASSM_WEDNESDAY"|"CLASSM_THURSDAY"|"CLASSM_FRIDAY"|"CLASSM_SATURDAY"|"CLASSM_SUNDAY"|"CATTR_CRSE_ATTR"|"CATTR_CRSE_ATTR_VALUE_DESCR"|"CRSE_UNITS_MINIMUM"|"INSTRUCTION_MODE"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"03"|"1319"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Evans,Jason J"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"04"|"1320"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Foster,Michelle C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"05"|"1321"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Hagar,William G"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"06"|"1322"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Pathania,Shailja"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"07"|"2206"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"White,Brian T"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"01"|"1323"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Ackerman,Steven M"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"02"|"1324"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Cai,Changmeng"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"03"|"1325"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"2"|"Dowling,Daniel Peter"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"04"|"1326"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Evans,Jason J"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"05"|"1327"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Foster,Michelle C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"06"|"1328"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"TBD"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"07"|"1329"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Girard,Juliet Rose"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"08"|"1330"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Green,Jason R"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"09"|"2076"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Hagar,William G"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"10"|"2077"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"2"|"Huang,Linda"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"11"|"2207"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Kesseli,Richard V"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"12"|"2208"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Li,Qingjiang"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"13"|"2209"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Macoska,Jill Ann"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"14"|"2210"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"McCusker,Catherine D"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"15"|"2211"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Pathania,Shailja"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"16"|"2212"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Poynton,Helen C"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"17"|"2213"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Rochford,Jonathan Joseph"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"18"|"2214"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Rouhana,Labib"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"19"|"2215"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Torok,Bela"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"20"|"2216"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Torok,Marianna"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"21"|"2217"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Veraksa,Alexey N"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"22"|"2218"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"White,Brian T"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"23"|"2219"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Woodhams,Douglas Craig"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"24"|"2220"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Zhang,Wei"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"25"|"2682"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"1"|"Hamad,Kimberly"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"491"|"26"|"4044"|"Directed Research in Biochemistry I"|"An opportunity for qualified, advanced students to work on a specialized research project under the guidance of a faculty advisor."|"Open"|"6.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"TBD"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biology"|"BIOL"|"101"|"01"|"1331"|"The Basis of Life"|"The uniqueness of life within the physical universe. The matter and energy of life, the genetic code, molecular biology, and the origin and evolution of life. An overview for students in the humanities and social sciences of those features which distinguish living organisms from non-living things. No background in the natural sciences is required."|"Closed"|"3.00"|"MWF"|"09/03/2024"|"12/13/2024"|"12:00"|"12:50"|"40"|"41"|"Martin,Glover Wilberte"|"W01-0006"|"Wheatley W01-0006"|"WHEATLEY"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|"BNGE"|"Natural Sciences"|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biology"|"BIOL"|"101"|"02"|"1332"|"The Basis of Life"|"The uniqueness of life within the physical universe. The matter and energy of life, the genetic code, molecular biology, and the origin and evolution of life. An overview for students in the humanities and social sciences of those features which distinguish living organisms from non-living things. No background in the natural sciences is required."|"Closed"|"3.00"|"MW"|"09/03/2024"|"12/13/2024"|"16:00"|"17:15"|"55"|"53"|"Vitantonio,Ana Therese"|"Y02-2110"|"University Hall Y02-2110"|"UNIVERSITY"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|""|""|""|"BNGE"|"Natural Sciences"|"3.00"|"P"
